rel_path,ok,mos,mos_0_100,duration_s,input_sr,channels,error
template_172-no98xx45-no.mp3,True,3.0859375,52.1484375,29.48,24000,1,
template_173-no14x651-no.mp3,True,3.19921875,54.98046875,22.88,24000,1,
template_174-no14x774-no.mp3,True,2.8125,45.3125,22.6,24000,1,
template_175-no16x588-no.mp3,True,2.990234375,49.755859375,33.92,24000,1,
template_176-no12x112-no.mp3,True,2.8203125,45.5078125,26.16,24000,1,
template_177-no13x140-no.mp3,True,2.576171875,39.404296875,26.1,24000,1,
template_178-no12x881-no.mp3,True,3.232421875,55.810546875,28.68,24000,1,
template_179-no11x302-no.mp3,True,2.783203125,44.580078125,23.32,24000,1,
template_18-no13x738-no.mp3,True,2.578125,39.453125,24.14,24000,1,
template_180-no17x209-no.mp3,True,2.65234375,41.30859375,27.8,24000,1,
template_181-no11x193-no.mp3,True,3.072265625,51.806640625,22.6,24000,1,
template_182-no19x614-no.mp3,True,2.57421875,39.35546875,24.28,24000,1,
template_183-no13x153-no.mp3,True,3.404296875,60.107421875,38.8,24000,1,
template_184-no15x524-no.mp3,True,2.640625,41.015625,22.4,24000,1,
template_185-no98x413-no.mp3,True,2.806640625,45.166015625,27.84,24000,1,
template_186-no11x803-no.mp3,True,2.6484375,41.2109375,22.02,24000,1,
template_187-no13x071-no.mp3,True,3.0390625,50.9765625,39.66,24000,1,
template_188-no13x064-no.mp3,True,2.876953125,46.923828125,26.2,24000,1,
template_189-no17x209-no.mp3,True,2.828125,45.703125,33.36,24000,1,
template_19-no16x113-fi.mp3,True,2.994140625,49.853515625,25.62,24000,1,
template_190-no21x721-no.mp3,True,2.580078125,39.501953125,25.82,24000,1,
template_191-no10x716-no.mp3,True,2.671875,41.796875,23.0,24000,1,
template_192-no16x613-no.mp3,True,3.302734375,57.568359375,25.56,24000,1,
template_193-no12x652-no.mp3,True,3.078125,51.953125,24.5,24000,1,
template_194-no13x808-no.mp3,True,2.96484375,49.12109375,25.26,24000,1,
template_195-no18x254-no.mp3,True,3.244140625,56.103515625,22.5,24000,1,
template_196-no12x623-no.mp3,True,2.626953125,40.673828125,27.1,24000,1,
template_197-no12x527-no.mp3,True,3.0390625,50.9765625,32.0,24000,1,
template_198-no16x857-no.mp3,True,3.0625,51.5625,32.68,24000,1,
template_199-no23x544-no.mp3,True,2.578125,39.453125,28.26,24000,1,
template_2-no99x139-no.mp3,True,2.666015625,41.650390625,29.32,24000,1,
template_20-no11x848-no.mp3,True,3.220703125,55.517578125,35.7,24000,1,
template_200-no21x009-no.mp3,True,2.97265625,49.31640625,27.72,24000,1,
template_201-no11x859-no.mp3,True,3.072265625,51.806640625,24.16,24000,1,
template_202-no13x670-no.mp3,True,2.94921875,48.73046875,26.18,24000,1,
template_203-no15x227-no.mp3,True,2.634765625,40.869140625,27.78,24000,1,
template_204-no20x862-no.mp3,True,2.748046875,43.701171875,22.8,24000,1,
template_205-no12x754-no.mp3,True,3.158203125,53.955078125,26.48,24000,1,
template_206-no12x804-no.mp3,True,2.71484375,42.87109375,35.22,24000,1,
template_207-no98xx45-da.mp3,True,3.33203125,58.30078125,24.92,24000,1,
template_208-no17x081-no.mp3,True,3.052734375,51.318359375,26.96,24000,1,
template_209-no10x716-no.mp3,True,2.79296875,44.82421875,23.2,24000,1,
template_21-no16x322-no.mp3,True,2.88671875,47.16796875,24.1,24000,1,
template_210-no13x808-fi.mp3,True,2.806640625,45.166015625,24.02,24000,1,
template_211-no15x109-no.mp3,True,2.55859375,38.96484375,29.98,24000,1,
template_212-no14x640-no.mp3,True,2.9609375,49.0234375,23.2,24000,1,
template_213-no11x193-no.mp3,True,2.85546875,46.38671875,33.0,24000,1,
template_214-no13x140-no.mp3,True,2.7421875,43.5546875,39.98,24000,1,
template_215-no16x867-no.mp3,True,3.1953125,54.8828125,28.88,24000,1,
template_216-no12x112-no.mp3,True,2.71875,42.96875,29.16,24000,1,
template_217-no99x069-no.mp3,True,2.83984375,45.99609375,23.38,24000,1,
template_218-no16x394-no.mp3,True,2.8359375,45.8984375,27.68,24000,1,
template_219-no99x144-no.mp3,True,1.580078125,14.501953125,40.0,24000,1,
template_22-no13x262-no.mp3,True,1.69921875,17.48046875,40.0,24000,1,
template_220-no18x630-no.mp3,True,2.9453125,48.6328125,31.12,24000,1,
template_221-no16x741-no.mp3,True,3.130859375,53.271484375,28.42,24000,1,
template_222-no18x130-no.mp3,True,3.00390625,50.09765625,24.98,24000,1,
template_223-no10x291-no.mp3,True,2.921875,48.046875,26.9,24000,1,
template_224-no13x437-no.mp3,True,2.947265625,48.681640625,22.7,24000,1,
template_225-no15x458-no.mp3,True,2.35546875,33.88671875,40.0,24000,1,
template_226-no16x113-no.mp3,True,3.453125,61.328125,19.98,24000,1,
template_227-no17x207-no.mp3,True,3.384765625,59.619140625,28.28,24000,1,
template_228-no11x895-no.mp3,True,3.203125,55.078125,25.82,24000,1,
template_229-no22x582-no.mp3,True,2.837890625,45.947265625,29.22,24000,1,
template_23-no12x527-no.mp3,True,2.96875,49.21875,24.96,24000,1,
template_230-no12x531-de.mp3,True,2.935546875,48.388671875,23.98,24000,1,
template_231-no15x555-no.mp3,True,2.111328125,27.783203125,40.0,24000,1,
template_232-no14x258-de.mp3,True,3.119140625,52.978515625,28.42,24000,1,
template_233-no12x531-no.mp3,True,2.49609375,37.40234375,26.62,24000,1,
template_234-no15x524-no.mp3,True,2.74609375,43.65234375,18.84,24000,1,
template_235-no18x321-no.mp3,True,2.685546875,42.138671875,24.76,24000,1,
